semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2019,14:125:465:01,Bme Microfluidics,"Zahn, Jeffrey",10,8,0,0,0,1,7,0,0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,4.9,5.0,4.8,4.9,4.9,4.8,4.6,4.4,4.5,4.6
Fall,2019,14:125:499:01,Topics In Bme: Health Tech In Situ: Data & Enterpr,",",15,8,0,0,0,4,4,0,0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.5,4.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall,2019,14:155:201:01,Cheme Mat Energy Bal,"Buettner, Helen",91,83,1,0,7,38,37,0,0,3.0,11.0,34.0,35.0,0.0,1.0,5.0,19.0,31.0,26.0,1.0,0.0,2.0,9.0,25.0,47.0,0.0,2.0,6.0,18.0,27.0,30.0,0.0,0.0,7.0,18.0,30.0,27.0,1.0,2.0,1.0,7.0,37.0,36.0,0.0,2.0,6.0,18.0,31.0,26.0,0.0,3.0,5.0,14.0,31.0,30.0,0.0,2.0,5.0,13.0,40.0,23.0,0.0,4.3,4.2,3.9,4.4,3.9,3.9,4.3,3.9,4.0,3.9
Fall,2019,14:155:298:01,Prof Skills Dev,"Murray, Karen",123,64,0,0,0,14,50,0,0,0.0,0.0,9.0,55.0,0.0,0.0,1.0,3.0,12.0,47.0,1.0,0.0,0.0,0.0,10.0,54.0,0.0,0.0,1.0,3.0,7.0,45.0,8.0,0.0,1.0,1.0,16.0,46.0,0.0,0.0,1.0,8.0,21.0,33.0,1.0,1.0,2.0,15.0,19.0,27.0,0.0,1.0,0.0,2.0,14.0,47.0,0.0,1.0,0.0,4.0,15.0,44.0,0.0,4.8,4.9,4.7,4.8,4.7,4.7,4.4,4.1,4.7,4.6
Fall,2019,14:155:303:01,Trans Phen Chem E I,"Tomassone, Maria",80,47,1,1,3,16,26,0,0,1.0,1.0,8.0,37.0,0.0,0.0,1.0,3.0,7.0,35.0,1.0,0.0,1.0,1.0,5.0,40.0,0.0,0.0,0.0,0.0,6.0,41.0,0.0,0.0,1.0,6.0,6.0,33.0,1.0,0.0,0.0,1.0,11.0,35.0,0.0,1.0,2.0,19.0,14.0,11.0,0.0,1.0,0.0,0.0,16.0,30.0,0.0,0.0,1.0,1.0,14.0,30.0,1.0,4.4,4.7,4.7,4.8,4.9,4.5,4.7,3.7,4.6,4.6
Fall,2019,14:155:307:01,Cheme Comp Method,"Androulakis, Ioannis",86,27,1,2,3,13,8,0,5,2.0,11.0,6.0,3.0,0.0,0.0,3.0,9.0,8.0,7.0,0.0,2.0,2.0,9.0,8.0,6.0,0.0,0.0,1.0,4.0,14.0,8.0,0.0,3.0,4.0,7.0,8.0,5.0,0.0,0.0,0.0,4.0,14.0,8.0,1.0,3.0,4.0,9.0,5.0,5.0,1.0,2.0,5.0,6.0,10.0,4.0,0.0,3.0,1.0,8.0,9.0,5.0,1.0,3.9,3.0,3.7,3.5,4.1,3.3,4.2,3.2,3.3,3.5
Fall,2019,14:155:309:01,Chem Eng Thermo II,"Chiew, Yee",84,25,0,0,0,4,21,0,0,0.0,2.0,5.0,18.0,0.0,0.0,1.0,3.0,6.0,15.0,0.0,0.0,0.0,1.0,7.0,17.0,0.0,1.0,3.0,3.0,7.0,11.0,0.0,0.0,0.0,3.0,6.0,16.0,0.0,0.0,1.0,2.0,8.0,14.0,0.0,0.0,2.0,3.0,10.0,9.0,1.0,0.0,1.0,2.0,4.0,18.0,0.0,0.0,1.0,3.0,9.0,12.0,0.0,4.8,4.6,4.4,4.6,4.0,4.5,4.4,4.1,4.6,4.3
Fall,2019,14:155:411:01,Biochemical Engg,"Schuster, Benjamin",76,71,0,2,2,25,42,0,0,0.0,4.0,25.0,42.0,0.0,1.0,6.0,12.0,23.0,28.0,1.0,0.0,0.0,1.0,23.0,45.0,2.0,0.0,0.0,8.0,30.0,32.0,1.0,2.0,4.0,12.0,24.0,27.0,2.0,0.0,7.0,17.0,33.0,14.0,0.0,6.0,12.0,18.0,19.0,15.0,1.0,0.0,2.0,9.0,32.0,27.0,1.0,1.0,4.0,18.0,33.0,15.0,0.0,4.5,4.5,4.0,4.6,4.3,4.0,3.8,3.4,4.2,3.8
Fall,2019,14:155:411:01,Biochemical Engg,"Zhang, Haoran",76,71,0,0,2,39,30,0,0,2.0,9.0,30.0,30.0,0.0,1.0,7.0,20.0,23.0,20.0,0.0,0.0,0.0,9.0,29.0,32.0,1.0,1.0,0.0,5.0,33.0,30.0,2.0,2.0,4.0,16.0,29.0,20.0,0.0,0.0,7.0,17.0,33.0,14.0,0.0,6.0,12.0,18.0,19.0,15.0,1.0,0.0,2.0,14.0,36.0,19.0,0.0,1.0,4.0,18.0,33.0,15.0,0.0,4.4,4.2,3.8,4.3,4.3,3.9,3.8,3.4,4.0,3.8
Fall,2019,14:155:415:01,Proc Engg Lab I,"Bertuccio, Alex",73,66,0,2,7,27,30,0,0,5.0,9.0,22.0,30.0,0.0,3.0,2.0,9.0,24.0,28.0,0.0,0.0,0.0,4.0,18.0,44.0,0.0,9.0,10.0,21.0,21.0,4.0,1.0,2.0,6.0,11.0,28.0,18.0,1.0,4.0,3.0,19.0,22.0,17.0,1.0,2.0,7.0,19.0,25.0,13.0,0.0,2.0,4.0,10.0,33.0,16.0,1.0,5.0,7.0,8.0,30.0,14.0,2.0,4.3,4.2,4.1,4.6,3.0,3.8,3.7,3.6,3.9,3.6
